Month East_Fork_Avg_Flow_m3day South_Fork_Avg_Flow_m3day Sugar_Avg_Flow_m3day French_Avg_Flow_m3day Etna_Avg_Flow_m3day Johnson_Avg_Flow_m3day Crystal_Avg_Flow_m3day Patterson_Avg_Flow_m3day Kidder_Avg_Flow_m3day Moffett_Avg_Flow_m3day Mill_Avg_Flow_m3day Shackleford_Avg_Flow_m3day
1990-10-01 19247.2087154917 22032.6945239302 6436.08939142093 6106.35191918439 18030.8752563669 1069.37167622849 802.028757171368 5346.85838114246 13391.6538487902 3121.85038974698 16593.5762558447 30119.3881394017
1990-11-01 31664.8646543647 32577.4548164882 9758.73174974243 10514.8012607866 29318.4735975766 1791.25603175923 1343.44202381942 8956.28015879613 23424.2653955425 5298.69221029319 21678.1107144483 43557.8457319252
1990-12-01 36534.6011952661 36100.6033465245 10917.4283190161 12342.9215861189 33677.920145223 2080.85061712785 1560.63796284589 10404.2530856393 27660.4207996329 6186.1096665599 22923.8916000811 47865.5161340545
1991-01-01 60463.1928227068 53220.6979652492 16539.3198550543 21461.6687689711 55033.0012938823 3511.54135024264 2633.65601268198 17557.7067512132 48919.7333617022 10589.5872760708 29553.5239076179 68890.2506578982
1991-02-01 107876.648602568 85103.7026107881 27138.8805031013 40125.960516226 97015.6307974553 6382.00335312131 4786.50251484098 31910.0167656065 92947.1533733586 19508.1080896205 41620.5560042686 107682.573770304
1991-03-01 160991.881549718 113179.184248137 37085.4043498032 62905.9156729954 142964.187647242 9711.27793226728 7283.45844920046 48556.3896613364 148203.373681552 30110.572219332 48424.9175450132 139818.979762159
1991-04-01 130586.238379859 97050.0095419132 31386.7301168625 49827.8334641114 116672.408760994 7803.67412335661 5852.75559251746 39018.370616783 116437.251922722 24030.3393623796 44288.4053592073 121285.32107083
1991-05-01 193349.060553763 130330.89190775 43130.5461896123 76918.490280433 170908.11462465 11746.10115071 8809.57586303253 58730.5057535502 182339.269691305 36609.3458860847 53109.8587896855 159608.053706156
1991-06-01 115581.983084726 88339.6498516262 28381.7861396186 43577.8429556759 103584.684909229 6874.47781394955 5155.85836046216 34372.3890697478 101413.953027911 21095.8616745397 41644.8859703539 111044.118087215
1991-07-01 24374.9432054505 26430.0550126676 7819.86853006876 7914.40783230245 22699.1678418498 1366.70784621132 1025.03088465849 6833.53923105661 17495.6766643603 4016.68735129952 18692.3027746072 35726.1397897589
1991-08-01 9175.88304634859 12450.756807771 3494.24023533108 2707.11898963592 8757.8483186459 495.397289161454 371.547966871091 2476.98644580727 5790.39198234086 1416.16362157175 11421.3142347342 17632.4601615708
1991-09-01 8351.85457248146 11667.552669498 3252.04750095947 2433.53507260603 7996.86853635278 448.699217919767 336.524413439825 2243.49608959883 5182.97957981634 1278.06339477646 11070.5755686745 16623.565869847
1991-10-01 11956.5319739296 15267.4195610412 4346.49442940126 3620.26060691451 11336.0120640842 652.170997113659 489.128247835244 3260.85498556829 7813.00353229144 1878.3708774867 13052.1524173902 21350.201734277
1991-11-01 25757.4649535229 27786.0392269319 8231.01893713686 8381.68212881479 23973.1292881168 1445.47791233234 1084.10843424925 7227.38956166169 18542.6300335247 4250.8856469569 19534.5757797657 37519.0034958635
1991-12-01 68948.1538410199 58887.2166259252 18430.7143338819 24790.6985344895 62548.7710696617 4024.73499526204 3018.55124644653 20123.6749763102 56758.7810017712 12182.4850152258 31576.7077652121 75749.3890357138
1992-01-01 61770.3793144612 54105.0127234729 16833.5963691847 21971.7056451105 56192.518813072 3590.43114820833 2692.82336115625 17952.1557410417 50118.4572927311 10834.0611057752 29873.9913680048 69963.5474798947
1992-02-01 165184.756087008 117224.35705082 38325.8577407335 64285.3277576697 146838.985279434 9948.40249861631 7461.30187396224 49742.0124930816 151243.994469255 30809.9682667608 50705.8745250255 145099.517908201
1992-03-01 163803.675864633 114699.137439743 37618.6535732268 64113.3827835171 145397.718711391 9887.51532547409 7415.63649410557 49437.5766273705 151136.352041019 30672.0669813377 48849.5541332231 141579.771291819
1992-04-01 306549.387602697 187296.599915539 63433.8765007434 127181.56084044 268064.863634156 18934.32419995 14200.7431499625 94671.6209997498 305875.513642302 59733.8432669846 68102.4572191214 224736.350365944
1992-05-01 158414.271640405 111780.461336515 36595.1304220024 61800.8291509384 140732.396816144 9549.82334017369 7162.36750513027 47749.1167008684 145520.595680525 29596.4196734712 48032.4053799722 138197.334626837
1992-06-01 42293.7481087149 40715.7720916942 12388.9991972125 14448.6822833134 38875.4084771075 2419.48278824139 1814.61209118104 12097.4139412069 32503.7167513221 7216.02830702441 25084.3940173368 53693.1632860327
1992-07-01 27986.2186811047 29398.559811148 8763.38830110441 9210.94003139569 25971.665938433 1577.60829505665 1183.20622129249 7888.04147528327 20456.9141357609 4654.71472611262 20040.9125335638 39477.8447145721
1992-08-01 6024.95193807902 9004.03892354087 2470.10223928774 1705.66693416314 5811.69943439058 320.026881169825 240.020160877369 1600.13440584913 3596.93412098094 903.993422324158 9238.34940497203 13009.6266734486
